date,nav,cash,market_value,daily_return,n_positions,n_orders,n_fills,n_rejections,dividend_cash,gross_exposure,variant
2023-08-24,12073854245.900002,1958475245.9000006,10115379000.0,0.01709509534013076,16,10,10,0,0.0,0.837792041711531,garch_hmm_brake
2023-08-25,12024950487.150002,2060547487.1500006,9964403000.0,-0.004050385051368899,15,10,10,0,0.0,0.8286439940561979,garch_hmm_brake
2023-08-28,12161889008.400002,3993885008.4000006,8168004000.000001,0.011387865704423072,13,10,10,0,0.0,0.6716065238186687,garch_hmm_brake
2023-08-29,12230514510.900002,5927032510.900001,6303482000.000001,0.005642668047093791,15,10,10,0,0.0,0.5153897650325546,garch_hmm_brake
2023-08-30,12383344776.400002,5954174776.400001,6429170000.000001,0.01249581653852716,19,10,10,0,0.0,0.5191787934591484,garch_hmm_brake
2023-08-31,12460276296.400002,7931919296.400001,4528357000.000001,0.006212499239027558,19,10,10,0,0.0,0.3634234821348484,garch_hmm_brake
2023-09-05,12473777489.150002,8423396489.150002,4050381000.0,0.0010835387939109875,15,10,10,0,0.0,0.32471166040304317,garch_hmm_brake
2023-09-06,12566800873.400002,6471213873.400002,6095587000.0,0.007457515121695346,15,10,10,0,0.0,0.4850547932928942,garch_hmm_brake
2023-09-07,12557642545.900002,4530542545.900002,8027100000.0,-0.0007287715936826755,16,10,10,0,0.0,0.639220297174393,garch_hmm_brake
2023-09-08,12654788677.800001,2550082677.8000016,10104706000.0,0.007736016656384015,15,10,10,0,0.0,0.7984887189563622,garch_hmm_brake
2023-09-11,12344622512.550001,877149512.5500016,11467473000.0,-0.024509786227731922,16,10,10,0,0.0,0.9289448088300587,garch_hmm_brake
2023-09-12,12637124543.550001,2111965543.5500016,10525159000.0,0.02369469221943654,17,10,10,0,0.0,0.8328760996006841,garch_hmm_brake
2023-09-13,12649600034.750002,3566202034.750002,9083398000.0,0.000987209642273168,17,10,10,0,0.0,0.7180778819130085,garch_hmm_brake
2023-09-14,12440684177.600002,5727671177.600002,6713013000.0,-0.016515609709088164,18,11,11,0,0.0,0.5396015929804788,garch_hmm_brake
2023-09-15,12450215531.900002,5914963531.9000025,6535251999.999999,0.0007661439004424953,19,10,10,0,0.0,0.5249107522078911,garch_hmm_brake
